use_other,textualizer,encoder,source,target,setting,balanced_accuracy,family
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.4938058748403576,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5789826390249637,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.5167566361542265,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.5792385302553605,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.6946207197069367,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.61066277120494,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.48133783152015963,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.3395680947405085,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.5876737896818218,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.6479311499437725,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.4326521924223074,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.8183988452143017,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6059812686249467,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.47295528471215265,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.5604654051642004,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6583183288477817,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.4401477446408277,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.6694474595077006,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.6944943330427201,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7357386121753938,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.9266580837865978,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.5536486486486487,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.7598978288633461,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9754370102471368,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.8256040602814796,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.6139629049111808,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.9578733225468735,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.7456057463085575,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.8039502636276828,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.6719631661442006,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.9578733225468735,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.9448693673593271,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.8077469174243369,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.7222505224660397,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.9578733225468735,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.7679568122339208,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.7682359779133973,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.6015267618715895,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.9459685606421117,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.8035661593894526,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.7269851047200275,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.4523823000116104,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.7630111671584023,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.6451357984490514,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.CASA,in_domain,0.8194264541038735,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.CASM,in_domain,0.7376161035643795,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.ORDA,in_domain,0.9578733225468735,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDB,TestBed.ORDB,in_domain,0.8233596189419482,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.49104108785470635,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.3691011936642301,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.3222741818123344,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.47629333123246437,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.34433773509403764,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.30009192866335727,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.6267182505085731,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.6609197711773006,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7531121482928712,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.4439407854456398,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.6490320993812918,summarized
True,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.852646921526772,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.49542816496112,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.1635276917784658,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.20048381715048383,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.45497933497123305,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.2689075630252101,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.2437723437723438,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.5508924246827472,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.5693953103817792,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7680437137407877,summarized
True,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.44063347327910435,summarized
