use_other,textualizer,encoder,source,target,setting,balanced_accuracy,family
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.44002737670684533,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.6054259078355464,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.5662828150731377,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.5811774409963852,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.5523223309367887,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7226024411508283,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.6534269902085993,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.8832683084691116,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.6133783783783784,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.762771392081737,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9299276672694394,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.7498190719455088,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5573903112210907,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.6309996743731684,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.5966506829410055,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.5063291139240507,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.39847347347347345,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7854402789886661,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7515751383567476,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.9231304597770461,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.7952600988084859,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.780970625798212,summarized
False,CompoundTextualSummary,Word2VecVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.8164556962025316,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.5549276287782035,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5924050632911392,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.5624616182447507,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6574324324324324,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.8143459915611814,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.6431591229784,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7952136006974716,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.6093231162196678,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.6969246354788523,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.8738733052828425,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.5872924648786718,summarized
False,DhekaneTextualSummary,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9810126582278481,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.4077054065559813,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5974683544303797,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.5104819277108433,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6148648648648648,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.7660709853561678,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.726281301381703,summarized
False,DhekaneTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.5558456843940716,summarized
